----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CREDENTIAL ACCESS
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
T1558.004 AS-REP Roasting	                                        Atomic Test #1: Rubeus asreproast [windows]                                                                                                                     Attack Commands: Run with powershell                                                            Dependencies: Run with powershell
T1003.005 Cached Domain Credentials	                                                                                                                                                                                                Attack Commands: Run with command_prompt
T1056.004 Credential API Hooking	                                Atomic Test #1: Hook PowerShell TLS Encrypt/Decrypt Messages [windows]                                                                                          Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)                   Dependencies: Run with powershell!
T1552.001 Credentials In Files	                                    Atomic Test #4 - Extracting passwords with findstr                                                                                                              Attack Commands: Run with powershell!
T1552.001 Credentials In Files	                                    Atomic Test #5 - Access unattend.xml                                                                                                                            Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1555 - Credentials from Password Stores	                        Atomic Test #1 - Extract Windows Credential Manager via VBA                                                                                                     Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell!
T1555 - Credentials from Password Stores	                        Atomic Test #2 - Dump credentials from Windows Credential Manager With PowerShell [windows Credentials]                                                         Attack Commands: Run with powershell!                                                           
T1555 - Credentials from Password Stores	                        Atomic Test #3 - Dump credentials from Windows Credential Manager With PowerShell [web Credentials]                                                             Attack Commands: Run with powershell!
T1555 - Credentials from Password Stores	                        Atomic Test #4 - Enumerate credentials from Windows Credential Manager using vaultcmd.exe [Windows Credentials]                                                 Attack Commands: Run with powershell!
T1555 - Credentials from Password Stores	                        Atomic Test #5 - Enumerate credentials from Windows Credential Manager using vaultcmd.exe [Web Credentials]                                                     Attack Commands: Run with powershell!
T1555.003 - Credentials from Web Browsers	                        Atomic Test #1 - Run Chrome-password Collector                                                                                                                  Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell!
